GRF Observations - Ctrl,GRF Observations - Post
601.4969,109.7792
109.78,107.9538
72.2405,90.44508
90.44561,94.94392
94.94414,88.78551
88.78606,92.54227
92.5425,90.34353
90.34385,95.61349
95.61356,92.46598
92.466,96.04051
96.04049,92.85269
92.85265,96.54285
96.54282,92.19483
92.19481,94.14762
94.14767,88.06123
88.06129,89.02792
89.02812,82.3427
82.34287,82.47385
82.47414,74.25132
74.25155,73.49573
73.49603,64.57964
64.57984,63.53255
63.53273,57.04232
107.9512,54.99069
54.99124,46.39556
133.8,45.82359
46.39648,53.21382
137.7164,56.77444
53.21384,66.46835
136.1866,66.44176
66.44177,76.47096
76.47059,75.62914
75.62927,83.374
83.37349,79.18014
79.18026,84.15128
84.1507,79.2513
79.25143,81.98824
3123.757,77.25898
77.25919,79.27785
9.01891,75.20674
75.20713,77.15503
77.15417,74.04758
74.04815,75.87933
75.87849,72.84162
72.84229,74.92116
74.92035,71.74508
66.46491,74.82661
74.82571,71.63615
147.0186,73.48837
71.63714,71.41451
71.4152,73.23486
73.23413,71.64887
1.11689,86.75913
97.59113,84.81309
166.0047,105.4785
85.10971,86.3508
166.5764,89.08054
89.08075,109.397
71.78318,149.7541
82.53701,144.9664
144.9645,118.6362
106.3908,112.8449
118.6215,112.4843
112.4822,95.93653
95.9364,71.26351
130.6416,71.18155
71.1816,67.44643
67.44646,63.35627
173.2668,57.41599
63.35628,50.92064
50.92064,49.34577
49.34574,48.8513
